"Module Name","Display Name","Driver Type","Link Date"
"sdstor","OvladaŸ portu £lo§içtØ SD","Kernel ",""
"SerCx","Serial UART Support Library","Kernel ",""
"SerCx2","Serial UART Support Library","Kernel ",""
"Serenum","OvladaŸ filtru Serenum","Kernel ",""
"Serial","OvladaŸ s‚riov‚ho portu","Kernel ",""
"sermouse","OvladaŸ s‚riov‚ myçi","Kernel ",""
"sfloppy","Disketov  jednotka s vysokou hustotou z znamu","Kernel ",""
"SgrmAgent","System Guard Runtime Monitor Agent","Kernel ",""
"SiSRaid2","SiSRaid2","Kernel ","24.09.2008 20:28:20"
"SiSRaid4","SiSRaid4","Kernel ","01.10.2008 23:56:04"
"SmartSAMD","SmartSAMD","Kernel ","21.02.2019 18:54:44"
"smbdirect","smbdirect","File System ",""
"spaceparser","Space Parser","Kernel ",""
"spaceport","OvladaŸ prostor… £lo§içœ","Kernel ",""
"SpatialGraphFilter","Holographic Spatial Graph Filter","Kernel ",""
"SpbCx","Simple Peripheral Bus Support Library","Kernel ",""
"srv2","OvladaŸ pro server SMB 2.xxx","File System ",""
"srvnet","srvnet","File System ",""
"stexstor","stexstor","Kernel ","27.11.2012 1:02:51"
"storahci","Standardn¡ ovladaŸ SATA AHCI spoleŸnosti Microsoft","Kernel ",""
"storflt","Akceler tor £lo§içtØ technologie Microsoft Hyper-V","Kernel ",""
"stornvme","OvladaŸ Microsoft Standard NVM Express ","Kernel ",""
"storqosflt","OvladaŸ filtru technologie QoS pro £lo§içtØ","File System ",""
"storufs","OvladaŸ Microsoft Universal Flash Storage (UFS)","Kernel ",""
"storvsc","storvsc","Kernel ",""
"storvsp","storvsp","Kernel ",""
"swenum","Softwarovì ovladaŸ sbØrnice","Kernel ",""
"Synth3dVsc","Synth3dVsc","Kernel ",""
"Tcpip","OvladaŸ protokolu TCP/IP","Kernel ",""
"Tcpip6","@todo.dll,-100;Microsoft IPv6 Protocol Driver","Kernel ",""
"tcpipreg","TCP/IP Registry Compatibility","Kernel ",""
"tdx","OvladaŸ pro podporu zastaral‚ho rozhran¡ TDI NetIO","Kernel ",""
"Telemetry","Slu§ba pro telemetrii Intel(R)","Kernel ",""
"terminpt","OvladaŸ vstupn¡ho zaý¡zen¡ vzd len‚ plochy spoleŸnosti Microsoft","Kernel ",""
"TPM","¬ip TPM","Kernel ",""
"TsUsbFlt","Remote Desktop USB Hub Class Filter Driver","Kernel ",""
"TsUsbGD","Obecn‚ zaý¡zen¡ USB vzd len‚ plochy","Kernel ",""
"tsusbhub","Remote Desktop USB Hub","Kernel ",""
"tunnel","Microsoft Tunnel Miniport Adapter Driver","Kernel ",""
"UASPStor","OvladaŸ UAS (USB Attached SCSI)","Kernel ",""
"UcmCx0101","USB Connector Manager KMDF Class Extension","Kernel ",""
"UcmTcpciCx0101","UCM-TCPCI KMDF Class Extension","Kernel ",""
"UcmUcsiAcpiClient","Klient ACPI UCM-UCSI","Kernel ",""
"UcmUcsiCx0101","UCM-UCSI KMDF Class Extension","Kernel ",""
"Ucx01000","USB Host Support Library","Kernel ",""
"UdeCx","USB Device Emulation Support Library","Kernel ",""
"udfs","udfs","File System ",""
"UEFI","OvladaŸ Microsoft UEFI","Kernel ",""
"UevAgentDriver","UevAgentDriver","File System ",""
"Ufx01000","USB Function Class Extension","Kernel ",""
"UfxChipidea","üadiŸ USB - Chipidea","Kernel ",""
"ufxsynopsys","üadiŸ USB - Synopsys","Kernel ",""
"umbus","OvladaŸ sbØrnice UMBus Enumerator","Kernel ",""
"UmPass","OvladaŸ Microsoft UMPass","Kernel ",""
"UrsChipidea","Chipidea - ovladaŸ USB pro pýep¡n n¡ rol¡","Kernel ",""
"UrsCx01000","USB Role-Switch Support Library","Kernel ",""
"UrsSynopsys","Synopsys - ovladaŸ USB pro pýep¡n n¡ rol¡","Kernel ",""
"usbaudio","OvladaŸ zvuk… USB (WDM)","Kernel ",""
"usbaudio2","Slu§ba USB Audio 2.0","Kernel ",""
"usbccgp","Obecnì nadýazenì ovladaŸ Microsoft USB","Kernel ",""
"usbcir","InfraŸervenì pýij¡maŸ eHome (USBCIR)","Kernel ",""
"usbehci","OvladaŸ miniportu vylepçen‚ho hostitelsk‚ho ýadiŸe Microsoft USB 2.0","Kernel ",""
"usbhub","OvladaŸ standardn¡ho rozboŸovaŸe USB","Kernel ",""
"USBHUB3","RozboŸovaŸ SuperSpeed","Kernel ",""
"usbohci","OvladaŸ miniportu otevýen‚ho hostitelsk‚ho ýadiŸe Microsoft USB","Kernel ",""
"usbprint","Tý¡da USB Printer","Kernel ",""
"usbrndis6","Adapt‚r USB RNDIS6","Kernel ",""
"usbser","S‚riovì ovladaŸ USB od spoleŸnosti Microsoft","Kernel ",""
"USBSTOR","OvladaŸ velkokapacitn¡ho pamØœov‚ho zaý¡zen¡ USB","Kernel ",""
"usbuhci","OvladaŸ miniportu univerz ln¡ho hostitelsk‚ho ýadiŸe Microsoft USB","Kernel ",""
"USBXHCI","Hostitelskì ýadiŸ USB kompatibiln¡ s rozhran¡m xHCI","Kernel ",""
"vdrvroot","Enumer tor virtu ln¡ jednotky Microsoft","Kernel ",""
"VerifierExt","Rozç¡ýen¡ OvØýovaŸ ovladaŸ…","Kernel ",""
"VfpExt","Microsoft Azure VFP Switch Extension","Kernel ",""
"vhdmp","vhdmp","Kernel ",""
"vhdparser","vhdparser","Kernel ",""
"vhf","OvladaŸ VHF (Virtual HID Framework)","Kernel ",""
"Vid","Vid","Kernel ",""
"VirtualRender","VirtualRender","Kernel ",""
"vmbus","SbØrnice virtu ln¡ho poŸ¡taŸe","Kernel ",""
"VMBusHID","VMBusHID","Kernel ",""
"vmbusr","Virtual Machine Bus Provider","Kernel ",""
"vmgid","OvladaŸ infrastruktury hosta Microsoft Hyper-V","Kernel ",""
"VMSNPXY","VmSwitch NIC Proxy Driver","Kernel ",""
"VMSP","VmSwitch Protocol Driver","Kernel ",""
"VmsProxy","VmSwitch Proxy Driver","Kernel ",""
"VMSVSF","VmSwitch Extensibility Filter","Kernel ",""
"VMSVSP","VmSwitch Extensibility Protocol","Kernel ",""
"volmgr","OvladaŸ spr vce svazk…","Kernel ",""
"volmgrx","Spr vce dynamickìch svazk…","Kernel ",""
"volsnap","OvladaŸ slu§by St¡nov  kopie svazku","Kernel ",""
"volume","OvladaŸ svazku","Kernel ",""
"vpci","Virtu ln¡ sbØrnice PCI technologie Microsoft Hyper-V","Kernel ",""
"vpcivsp","Microsoft Hyper-V PCI Server","Kernel ",""
"vsmraid","vsmraid","Kernel ","22.04.2014 21:21:41"
"VSTXRAID","VIA - ovladaŸ ýadiŸe RAID £lo§içtØ StorX (Windows)","Kernel ","21.01.2013 20:00:28"
"vwifibus","Virtual Wireless Bus Driver","Kernel ",""
"vwififlt","Virtual WiFi Filter Driver","Kernel ",""
"WacomPen","OvladaŸ Wacom Serial Pen HID","Kernel ",""
"wanarp","Remote Access IP ARP Driver","Kernel ",""
"wanarpv6","Remote Access IPv6 ARP Driver","Kernel ",""
"wcifs","Windows Container Isolation","File System ",""
"wcnfs","Windows Container Name Virtualization","File System ",""
"WdBoot","SpouçtØc¡ ovladaŸ Antivirov‚ ochrany v programu Microsoft Defender","Kernel ",""
"Wdf01000","Slu§ba Architektura ovladaŸ… v re§imu j dra","Kernel ",""
"WdFilter","OvladaŸ minifiltru Antivirov‚ ochrany v programu Microsoft Defender ","File System ",""
"wdiwifi","WDI Driver Framework","Kernel ",""
"WdmCompanionFilter","WdmCompanionFilter","Kernel ",""
"WdNisDrv","Syst‚movì ovladaŸ kontroly s¡tØ v Antivirov‚ ochranØ v programu Microsoft Defender","Kernel ",""
"WFPLWFS","Microsoft Windows Filtering Platform","Kernel ",""
"WIMMount","WIMMount","File System ",""
"WindowsTrustedRT","Windows Trusted Execution Environment Class Extension","Kernel ",""
"WindowsTrustedRTProxy","Slu§ba zabezpeŸen¡ d…vØryhodn‚ho modulu runtime Microsoft Windows","Kernel ",""
"WinMad","Slu§ba WinMad","Kernel ","19.06.2019 15:18:11"
"WinNat","OvladaŸ Windows NAT","Kernel ",""
"WINUSB","OvladaŸ WinUsb","Kernel ",""
"WinVerbs","Slu§ba WinVerbs","Kernel ","19.06.2019 15:18:12"
"WmiAcpi","Microsoft Windows Management Interface for ACPI","Kernel ",""
"Wof","Windows Overlay File System Filter Driver","File System ",""
"WpdUpFltr","WPD Upper Class Filter Driver","Kernel ",""
"ws2ifsl","OvladaŸ Winsock IFS","Kernel ",""
"WudfPf","User Mode Driver Frameworks Platform Driver","Kernel ",""
"WUDFRd","Windows Driver Foundation - User-mode Driver Framework Reflector","Kernel ",""
"WUDFWpdFs","OvladaŸ syst‚mu soubor… WPD","Kernel ",""
"WUDFWpdMtp","WUDFWpdMtp","Kernel ",""
